Age,Employment_Status,Marital_Status,Dependents,Monthly_Income,Savings,Food_Grocery_Expenses,Internet_Mobile_Expenses,Electricity_Bills,Shopping_Expenses,Personal_Expenses,Miscellaneous_Expenses,Rent,Own_House,Active_Loans,Loan_1_Amount,Loan_1_EMI,Loan_2_Amount,Loan_2_EMI,Credit_Score,Investments,Stock_Quantity,Loan_Approval_Chance,Investment_Recommendation,Portfolio_Optimization
50,Employed,Married,3,173240,388828,15807,3002,4000,8434,4189,3743,0,1,1,201150,17529,827150,0,300,None,0,0,Stocks,No
33,Employed,Single,2,114450,259668,17698,1981,3548,4899,9793,2185,8375,1,2,253622,5165,903891,21253,300,None,0,0,Stocks,No
41,Employed,Single,1,92399,105064,13133,3101,2624,5610,1488,5757,0,1,2,604834,19930,485773,0,300,None,0,0,SIP,No
40,Employed,Single,0,195658,420181,13274,3144,3641,5770,5675,5876,37640,1,0,992766,27365,305376,17038,300,Stocks,450,0,Stocks,Yes
48,Employed,Married,2,83044,21025,16012,3894,3224,3794,2089,3656,0,1,0,722938,29143,628776,0,300,Stocks,0,0,None,No
38,Employed,Single,3,58946,457238,6681,2401,4227,9568,2636,4242,19259,0,2,516457,11171,580920,11958,300,FD,84,0,SIP,No
35,Employed,Married,2,90254,282415,7275,3587,6955,4080,3587,5530,0,1,2,245017,11485,703212,0,301,None,0,0,None,Yes
49,Employed,Single,3,116060,408627,12439,1721,6399,3843,9223,1916,19585,1,2,476047,14884,289924,0,301,SIP,0,0,None,Yes
27,Employed,Married,2,60874,52232,9813,1011,3232,9976,3719,2768,30383,1,1,530299,6347,568972,0,301,Stocks,26,0,SIP,No
34,Employed,Married,0,79853,121363,7428,3374,4574,10705,5523,1382,19627,1,2,945763,19688,195180,0,301,FD,0,0,None,Yes
42,Employed,Married,1,72385,436889,7561,1599,6994,14348,2640,3244,0,1,2,931433,20116,945820,24193,301,None,0,0,SIP,Yes
42,Employed,Single,3,112584,313558,19842,2661,2373,9079,6404,1235,37674,0,2,673654,15110,545527,9265,301,FD,464,0,Stocks,Yes
50,Employed,Single,1,186045,42309,18994,2124,5363,14853,2388,1168,0,0,1,177926,10412,941960,0,301,Stocks,0,0,Stocks,Yes
