User_ID,Age,Occupation,Income (INR),Expenses (INR),Loan Amount (INR),Loan Type,Loan EMI (INR),Savings (INR),Investments (INR),Risk Tolerance,Investment Preference,Credit Score,Debt-to-Income Ratio (%),Financial Literacy,Owns House
1,56,Self-employed,82841,59370,1330730,Education Loan,9973,13496,7187,Moderate,Mutual Funds,763,12.039914228743102,Medium,True
2,46,Banker,49223,30495,1001421,Gold Loan,9076,9651,3200,Low,Fixed Deposits,761,18.439006031643057,High,True
3,32,Banker,51740,33380,1289722,Home Loan,15254,3104,1169,Moderate,Mutual Funds,684,29.483116167223084,High,True
4,60,Banker,31053,15230,47064,Home Loan,246,15576,7629,Low,Fixed Deposits,590,0.7933504480693561,High,True
5,25,Agriculture,34411,25421,258394,Business Loan,1252,7737,3439,Low,Fixed Deposits,647,3.638709615297395,Low,True
6,38,Teacher,15000,8571,557876,Car Loan,5245,1182,524,Low,Fixed Deposits,788,34.972324336699955,Medium,True
7,56,Government Employee,51103,23322,258348,Education Loan,1295,26484,13552,Moderate,Mutual Funds,525,2.5353903447609034,Medium,True
8,36,Doctor,100113,66642,199093,Two-wheeler Loan,1538,31931,17043,High,Stocks,675,1.5368535954698639,High,False
9,40,Sales,29627,14411,1206384,Car Loan,7978,7236,4477,Low,Fixed Deposits,799,26.9299986587122,Low,True
10,28,Agriculture,109523,48083,71970,Car Loan,336,61103,26664,High,Stocks,690,0.3069555261270407,Low,False
11,28,Doctor,78285,58306,297679,Gold Loan,1526,18452,11480,Moderate,Mutual Funds,900,1.950090701148429,High,False
12,41,Sales,40528,23670,941900,Education Loan,4596,12260,5338,Low,Fixed Deposits,525,11.34130791589087,Low,True
13,53,Teacher,50545,35367,984464,Personal Loan,11632,3545,1142,Moderate,Mutual Funds,603,23.01371049362343,Medium,False
14,57,Government Employee,47297,24416,390017,Home Loan,5375,17504,9131,Low,Fixed Deposits,468,11.366234424294248,Medium,True
15,41,Government Employee,84123,60130,1304186,Two-wheeler Loan,5906,18086,9679,Moderate,Mutual Funds,899,7.021024320047401,Medium,True
16,20,Engineer,60340,26837,347898,Car Loan,2680,30822,20768,Moderate,Mutual Funds,605,4.441593765275238,High,True
17,39,Teacher,73639,39941,1582927,Business Loan,14156,19541,11537,Moderate,Mutual Funds,501,19.22383270981907,Medium,True
18,19,Sales,57163,45228,46047,Personal Loan,241,11692,7800,Moderate,Mutual Funds,638,0.422982032423716,Low,True
19,41,Engineer,47760,34272,1023277,Home Loan,4859,8627,5723,Low,Fixed Deposits,560,10.175688479485983,High,True
20,47,Government Employee,56528,33854,122014,Car Loan,566,22106,11977,Moderate,Mutual Funds,639,1.0027846368987101,Medium,True
21,55,Agriculture,41861,22433,575662,Personal Loan,4925,14501,7412,Low,Fixed Deposits,704,11.765763743460381,Low,True
22,19,Engineer,20955,15692,186629,Personal Loan,874,4388,2294,Low,Fixed Deposits,780,4.1735225199491,High,True
23,38,Agriculture,66273,40952,1927646,Two-wheeler Loan,28613,0,0,Moderate,Mutual Funds,682,43.17539904402074,Low,False
24,50,Agriculture,19976,14050,270160,Car Loan,3918,2006,1222,Low,Fixed Deposits,702,19.617676908909516,Low,True
25,29,Sales,44623,31309,336028,Education Loan,1951,11362,3891,Low,Fixed Deposits,641,4.372191883415974,Low,True
26,39,Engineer,41202,16776,1779153,Education Loan,24932,0,0,Low,Fixed Deposits,548,60.51254389133482,High,True
